# flow data source for Sacramento River and San Joaquin River,,,,,,,,,,,
#    USGS 11455420 SACRAMENTO R A RIO VISTA CA,,,,,,,,,,,
# https://waterdata.usgs.gov/nwis/inventory/?site_no=11455420&agency_cd=USGS&amp;,,,,,,,,,,,
#    USGS 11337190 SAN JOAQUIN R A JERSEY POINT CA,,,,,,,,,,,
# https://waterdata.usgs.gov/monitoring-location/11337190/#dataTypeId=continuous-00060-0&period=P7D&showMedian=false,,,,,,,,,,,
# constituent data from USGS San Francisco Water Quality monitoring station 9 ,,,,,,,,,,,
"# Cloern, J.E., and Schraga, T.S., 2016, USGS Measurements of Water Quality in San Francisco Bay (CA), 1969-2015 (ver. 3.0 June 2017): U. S. Geological Survey data release, https://doi.org/10.5066/F7TQ5ZPR. https://www.sciencebase.gov/catalog/item/5841f97ee4b04fc80e518d9f Schraga, T.S. & Cloern, J.E. Water Quality Measurements in San Francisco Bay by the U.S.Geological Survey, 1969-2015. Scientific Data 4:170098 doi:10.1038/sdata.2017.98 (2017). https://www.nature.com/articles/sdata201798",,,,,,,,,,,
# https://www.usgs.gov/centers/california-water-science-center/science/sampling-locations-water-quality-san-francisco-bay,,,,,,,,,,,
# https://www.usgs.gov/data/usgs-measurements-water-quality-san-francisco-bay-ca-2016-2021-ver-40-march-2023,,,,,,,,,,,
date,flow m3/s,Oxygen mmol/m3,Salinity PSU,Temperature C,Nitrite mmol/m3,Nitrate mmol/m3,Nitrate_Nitrite mmol/m3,Ammonium mmol/m3,Phosphate mmol/m3,Silicate mmol/m3,Chlorophyll mg/m3
1/1/2018,357.074848,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/2/2018,389.072832,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/3/2018,342.350112,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/4/2018,288.83136,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/5/2018,308.65312,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/6/2018,328.47488,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/7/2018,317.14816,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/8/2018,319.97984,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/9/2018,504.03904,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/10/2018,682.43488,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/11/2018,948.6128,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/12/2018,878.953472,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/13/2018,771.066464,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/14/2018,598.90032,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/15/2018,522.728128,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/16/2018,558.407296,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/17/2018,573.132032,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/18/2018,452.219296,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/19/2018,515.932096,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/20/2018,600.31616,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/21/2018,620.704256,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/22/2018,567.185504,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/23/2018,433.9266432,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/24/2018,399.26688,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/25/2018,501.348944,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/26/2018,566.052832,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/27/2018,562.654816,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/28/2018,555.00928,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/29/2018,508.003392,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/30/2018,480.252928,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
1/31/2018,506.304384,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,2.7
2/1/2018,543.399392,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/2/2018,526.409312,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/3/2018,488.747968,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/4/2018,461.56384,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/5/2018,450.23712,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/6/2018,436.361888,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/7/2018,376.3585888,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/8/2018,336.96992,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/9/2018,339.8016,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/10/2018,370.95008,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/11/2018,319.97984,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/12/2018,447.688608,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/13/2018,483.084608,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/14/2018,412.575776,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/15/2018,513.383584,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/16/2018,405.779744,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/17/2018,253.718528,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/18/2018,246.35616,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/19/2018,578.229056,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/20/2018,444.290592,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/21/2018,264.195744,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/22/2018,317.714496,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/23/2018,476.005408,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/24/2018,376.896608,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/25/2018,305.538272,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/26/2018,304.4056,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/27/2018,401.249056,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
2/28/2018,309.502624,278.125,11.72,12.87,1.27,36.71,37.98,11.71,2.5,194.1,2.5
3/1/2018,287.7836384,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/2/2018,581.627072,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/3/2018,636.278496,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/4/2018,659.215104,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/5/2018,497.809344,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/6/2018,305.82144,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/7/2018,273.540288,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/8/2018,277.787808,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/9/2018,276.371968,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/10/2018,367.268896,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/11/2018,406.912416,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/12/2018,249.18784,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/13/2018,271.84128,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/14/2018,431.8312,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/15/2018,536.037024,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/16/2018,764.270432,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/17/2018,980.044448,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/18/2018,947.763296,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/19/2018,812.69216,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/20/2018,651.852736,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/21/2018,555.2641312,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/22/2018,1082.268096,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/23/2018,1792.45344,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/24/2018,2013.32448,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/25/2018,2098.27488,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/26/2018,1840.592,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/27/2018,1497.95872,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/28/2018,1255.000576,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/29/2018,1157.024448,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/30/2018,1061.313664,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
3/31/2018,887.448512,281.25,17.31,12.87,0.9,29.73,30.63,8.35,2.48,136.33,3.1
4/1/2018,848.937664,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/2/2018,851.769344,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/3/2018,843.84064,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/4/2018,918.88016,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/5/2018,1226.966944,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/6/2018,1546.09728,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/7/2018,2010.4928,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/8/2018,2350.2944,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/9/2018,2279.5024,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/10/2018,2271.00736,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/11/2018,2290.82912,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/12/2018,2220.03712,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/13/2018,1888.73056,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/14/2018,1446.98848,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/15/2018,1138.33536,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/16/2018,1274.256,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/17/2018,1186.47392,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/18/2018,921.995008,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/19/2018,902.739584,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/20/2018,829.115904,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/21/2018,686.965568,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/22/2018,583.042912,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/23/2018,468.926208,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/24/2018,418.4373536,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/25/2018,400.68272,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/26/2018,418.522304,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/27/2018,606.262688,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/28/2018,554.442944,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/29/2018,506.587552,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
4/30/2018,473.456896,290.625,0.28,14.79,0.54,15.31,15.85,4.64,1.83,245.39,3.8
5/1/2018,281.5256256,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/2/2018,312.617472,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/3/2018,478.837088,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/4/2018,475.439072,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/5/2018,366.419392,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/6/2018,500.074688,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/7/2018,399.26688,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/8/2018,260.797728,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/9/2018,333.288736,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/10/2018,369.251072,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/11/2018,307.803616,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/12/2018,153.760224,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/13/2018,243.5811136,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/14/2018,336.96992,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/15/2018,315.165984,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/16/2018,319.97984,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/17/2018,249.471008,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/18/2018,252.869024,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/19/2018,305.255104,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/20/2018,375.480768,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/21/2018,291.379872,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/22/2018,253.43536,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/23/2018,310.918464,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/24/2018,353.96,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/25/2018,388.223328,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/26/2018,333.571904,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/27/2018,370.383744,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/28/2018,460.148,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/29/2018,369.251072,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/30/2018,400.399552,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
5/31/2018,540.85088,284.375,3.74,16.99,1.11,17.6,18.71,5,3.55,207.43,2.5
6/1/2018,390.205504,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/2/2018,276.0888,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/3/2018,208.977984,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/4/2018,268.726432,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/5/2018,317.2614272,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/6/2018,275.7150182,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/7/2018,301.007584,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/8/2018,212.092832,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/9/2018,221.720544,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/10/2018,270.991776,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/11/2018,195.102752,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/12/2018,182.926528,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/13/2018,180.944352,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/14/2018,187.174048,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/15/2018,175.280992,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/16/2018,210.110656,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/17/2018,374.064928,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/18/2018,353.393664,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/19/2018,308.936288,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/20/2018,327.05904,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/21/2018,295.344224,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/22/2018,181.4823712,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/23/2018,124.310752,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/24/2018,137.053312,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/25/2018,381.710464,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/26/2018,317.997664,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/27/2018,214.4148096,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/28/2018,347.447136,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/29/2018,311.767968,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
6/30/2018,208.12848,246.875,14.18,18.66,1.03,26.81,27.84,5.93,4.23,129.86,2.3
7/1/2018,196.518592,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/2/2018,231.6540774,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/3/2018,235.02944,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/4/2018,386.807488,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/5/2018,421.070816,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/6/2018,257.0882272,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/7/2018,188.30672,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/8/2018,194.819584,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/9/2018,195.102752,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/10/2018,149.795872,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/11/2018,130.823616,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/12/2018,184.908704,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/13/2018,265.045248,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/14/2018,222.570048,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/15/2018,296.476896,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/16/2018,320.263008,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/17/2018,298.2891712,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/18/2018,240.975968,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/19/2018,211.526496,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/20/2018,219.4552,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/21/2018,246.072992,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/22/2018,273.540288,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/23/2018,259.665056,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/24/2018,252.585856,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/25/2018,244.94032,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/26/2018,237.577952,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/27/2018,248.055168,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/28/2018,310.635296,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/29/2018,320.546176,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/30/2018,284.6687904,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
7/31/2018,280.053152,243.75,15.36,20.34,0.78,26.56,27.34,4.5,3.26,142.98,2.6
8/1/2018,291.66304,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/2/2018,294.49472,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/3/2018,294.49472,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/4/2018,262.213568,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/5/2018,267.310592,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/6/2018,260.51456,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/7/2018,246.35616,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/8/2018,279.486816,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/9/2018,278.637312,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/10/2018,276.938304,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/11/2018,282.318496,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/12/2018,270.708608,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/13/2018,277.221472,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/14/2018,291.66304,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/15/2018,297.3264,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/16/2018,294.49472,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/17/2018,266.17792,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/18/2018,218.03936,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/19/2018,211.243328,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/20/2018,238.144288,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/21/2018,285.99968,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/22/2018,288.83136,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/23/2018,282.601664,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/24/2018,279.203648,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/25/2018,257.2184845,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/26/2018,249.18784,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/27/2018,257.966048,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/28/2018,303.3012448,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/29/2018,305.3117376,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/30/2018,306.52936,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
8/31/2018,279.769984,237.5,15.49,20.21,0.75,24.1,24.85,6,3.49,143.76,2.4
9/1/2018,259.665056,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
9/2/2018,236.44528,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
9/3/2018,243.241312,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
9/4/2018,258.532384,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
9/5/2018,277.787808,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
9/6/2018,379.161952,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
9/7/2018,305.11352,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
9/8/2018,269.575936,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
9/9/2018,303.1879776,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
9/10/2018,283.309584,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
9/11/2018,253.718528,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
9/12/2018,287.8685888,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
9/13/2018,282.4317632,237.5,19.58,18.83,0.84,24.22,25.06,6.85,3.52,151.87,2.1
